question_id,question_link,Topic,marks,time,answer_link,answer_id
19P2HCIJ2PREQ6,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl80,Database Theory (SQL & NoSQL),20,36,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS5I,A19P2HCIJ2PREQ6
19P2HCIJ2PREQ7,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl-E,Binary Search Tree,15,27,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAbvYky38,A19P2HCIJ2PREQ7
19P2HCIJ2PREQ8,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl-I,Quick sort,7,12,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS5U,A19P2HCIJ2PREQ8
19P2JPJJ2PREQ3,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WL0,Linear/binary search,8,14,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrU,A19P2JPJJ2PREQ3
19P2JPJJ2PREQ4,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WL4,OOP,5,9,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrY,A19P2JPJJ2PREQ4
19P2JPJJ2PREQ6a-b,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WL8,Database Theory (SQL & NoSQL),10,18,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrc,A19P2JPJJ2PREQ6a-b
19P2JPJJ2PREQ6d,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMA,Decision Tables,6,10,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshro,A19P2JPJJ2PREQ6d
19P2JPJJ2PREQ7a,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAbvWV-a8,ASCII and Unicode,2,3,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAbvkiWhI,A19P2JPJJ2PREQ7a
19P2JPJJ2PREQ7b-c,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAbvWV-bA,"Denary, binary and hexadecimals",4,7,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAbvkiWhQ,A19P2JPJJ2PREQ7b-c
19P2JPJJ2PREQ8.a,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMU,Linked List,5,9,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrw,A19P2JPJJ2PREQ8.a
19P2JPJJ2PREQ8.b,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMY,Queue,5,9,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshr0,A19P2JPJJ2PREQ8.b
19P2JPJJ2PREQ9,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMM,Binary Search Tree,10,18,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshr4,A19P2JPJJ2PREQ9
19P2DHSJ2PREQ2,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZY,Algorithm design and control structures,10,18,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNJk,A19P2DHSJ2PREQ2
19P2DHSJ2PREQ3,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZs,Binary Search Tree,10,18,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNJo,A19P2DHSJ2PREQ3
19P2DHSJ2PREQ5,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZ0,OOP,12,21,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNJs,A19P2DHSJ2PREQ5
19P2DHSJ2PREQ6,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZ4,Database Theory (SQL & NoSQL),15,27,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNLg,A19P2DHSJ2PREQ6
